turning_name,turning_number,turning_year_begin,turning_year_end,saeculum_name,entering_elderhood,entering_midlife,entering_young_adulthood,entering_childhood,turning_notes,elderhoood,midlife,young_adulthood,childhood,families,child_nurture,gap_between_gender_roles,ideals,institutions,culture,social_structure,worldview,special_priority,social_motivator,sense_of_greatest_need,vision_of_future,wars,turning_type,generation_name,childhood_turning_entered,turnings_archetype,generations_archetype,birth_year_begin,birth_year_end,childhood_turning_description,wikipedia_url
Reaction and Restoration,3,1649,1675,New World,Parliamentarians,Puritans,Cavaliers,Glorious,"Reaction and Restoration (Third Turning, 1649–1675) was an era of drift and fierce controversy over the ideals of the original New World immigrants. Disoriented by fast-shifting events (Cromwell's Protectorate in the 1650s, the Stuart Restoration in 1660, a war with Holland in which ""New York"" was captured in 1664), each colony fended for itself and cut its own deal with England. The era ended with the authority of colonial self-government ebbing — and worries about the future rising.",Artist,Prophet,Nomad,Hero,Weak,Tightening,Minimum,Debated,Eroded,Cynical,Diversified,Complex,Maximum Individualism,Guilt,Do What Feels Right,Darkening,Inconclusive,Unraveling,Glorious,3,Hero,Civic,1648,1673.0,"English Civil War, Republic, Restoration",
French & Indian Wars,3,1746,1773,Revolutionary,Enlighteners,Awakeners,Liberty,Republicans,"French & Indian Wars (Third Turning, 1746–1773) was an era of unprecedented economic and geographic mobility. Swept into a final war against New France in the 1750s, the colonists hardly celebrated Britain's total victory (in 1760) before renewing thunderous debates over how to salvage civic virtue from growing debt, cynicism, and wildness. With colonial leadership at a low ebb, popular fears soon targeted the alleged corruption of the English Parliament and empire.",Artist,Prophet,Nomad,Hero,Weak,Tightening,Minimum,Debated,Eroded,Cynical,Diversified,Complex,Maximum Individualism,Guilt,Do What Feels Right,Darkening,Inconclusive,Unraveling,Republican,3,Hero,Civic,1742,1766.0,"French and Indian War, British Imperialism",
The Mexican War & Sectionalism,3,1844,1860,Civil War,Compromisers,Transcendentals,Gilded,Progressives,"The Mexican War & Sectionalism (Third Turning, 1844–1860) was an era of ""almighty dollar"" commercialism, western ""gold fever,"" Whitmanesque self-worship, and nativist slogans against Mexicans and Irish. Beneath trimming national leaders, rising tempers launched competing moral crusades. By the late 1850s — from Kansas to Harper's Ferry, Dred Scott to the Underground Railroad — visions of the nation's future were separating into two irreconcilable regional loyalties.",Artist,Prophet,Nomad,Hero,Weak,Tightening,Minimum,Debated,Eroded,Cynical,Diversified,Complex,Maximum Individualism,Guilt,Do What Feels Right,Darkening,Inconclusive,Unraveling,Civil War,3,Hero,Civic,1822,1842.0,"Mexican War and Sectionalism, Gold Rush, Wild West",
World War I & Prohibition,3,1908,1929,Great Power,Progressives,Missionaries,Lost,G.I.s,"World War I & Prohibition (Third Turning, 1908–1929) was an era of rapid technological change, egocentric celebrities, widening class divisions, crumbling trusts and unions, and expert — but weak — political leadership. Following World War I, the public immersed itself in moral crusades (League of Nations, Prohibition, Women Suffrage). By the '20s, a fun-filled financial boom was framed by pessimistic debates over drugs, sex, money, cynicism, violence, immigration, and the family.",Artist,Prophet,Nomad,Hero,Weak,Tightening,Minimum,Debated,Eroded,Cynical,Diversified,Complex,Maximum Individualism,Guilt,Do What Feels Right,Darkening,Inconclusive,Unraveling,G.I.,3,Hero,Civic,1901,1924.0,"World War I, Prohibition, Roaring Twenties",https://en.wikipedia.org/wiki/Greatest_Generation
The Long Boom & Culture Wars,3,1984,2008,Millennial,Silent,Boomers,Xers,Millennials,"The Long Boom & Culture Wars (Third Turning, 1984– 2008) opened with triumphant ""Morning in America"" individualism; drifted toward celebrity scandal and a stock market boom; experienced a brief moment of ""war on terror"" unity; and then ended with yet another equity bubble. People felt optimistic about their personal lives, but pessimistic about the country. They worried about rising violence and incivility, widening inequality, and the splitting of the national consensus into competing ""values"" camps.",Artist,Prophet,Nomad,Hero,Weak,Tightening,Minimum,Debated,Eroded,Cynical,Diversified,Complex,Maximum Individualism,Guilt,Do What Feels Right,Darkening,Inconclusive,Unraveling,Millennial,3,Hero,Civic,1982,2004.0,"Culture Wars, Postmodernism, Neoliberalism, Great Regression, Gulf War",https://en.wikipedia.org/wiki/Millennials
The colonial Glorious Revolution,4,1675,1704,New World,Puritans,Cavaliers,Glorious,Enlighteners,"The colonial Glorious Revolution (Fourth Turning, 1675–1704) began with civil upheavals and catastrophic Indian wars — soon followed by Parliamentary efforts to reassert direct royal control over the colonies. The ensuing resistance culminated in 1689 with colonial rebellions that were triggered by news of the Glorious Revolution in England on behalf of William of Orange. A further decade of war against Canadian New France ended with Britain's global triumph, vigorous institutions of colonial self-rule, and a new era of peace with local native tribes.",Prophet,Nomad,Hero,Artist,Strengthening,Overprotective,Widening,Championed,Founded,Practical,Gravitating,Simplifying,Rising Community,Stigma,Fix Outer World,Urgent,Total,Crisis,Enlightenment,4,Artist,Adaptive,1674,1700.0,"Salem Witch Trials, King Philip's War, Glorious Revolution, War of the Spanish Succession",
American Revolution,4,1773,1794,Revolutionary,Awakeners,Liberty,Republicans,Compromisers,"American Revolution (Fourth Turning, 1773–1794) began when Parliament's response to the Boston Tea Party ignited a colonial tinderbox — leading directly to the first Continental Congress, the battle of Concord, and the Declaration of Independence. The war climaxed with the colonial triumph at Yorktown (in 1781). Seven years later, the new ""states"" ratified a nation-forging Constitution. The crisis mood eased once President Washington weathered the Jacobins, put down the Whiskey Rebels, and settled on a final treaty with England.",Prophet,Nomad,Hero,Artist,Strengthening,Overprotective,Widening,Championed,Founded,Practical,Gravitating,Simplifying,Rising Community,Stigma,Fix Outer World,Urgent,Total,Crisis,Compromise,4,Artist,Adaptive,1767,1791.0,"American Revolution, Age of Revolution",
The Civil War,4,1860,1865,Civil War,Transcendentals,Civil War,Progressives,Missionaries,"The Civil War (Fourth Turning, 1860–1865) began with a presidential election that many southerners interpreted as an invitation to secede. The attack on Fort Sumter triggered the most violent conflict ever fought on New World soil. The war reached its climax in the Emancipation Proclamation and Battle of Gettysburg (in 1863). Two years later, the Confederacy was beaten into bloody submission and Lincoln was assassinated — a grim end to a crusade many had hoped would ""trample out the vintage where the grapes of wrath are stored.""",Prophet,Nomad,Hero,Artist,Strengthening,Overprotective,Widening,Championed,Founded,Practical,Gravitating,Simplifying,Rising Community,Stigma,Fix Outer World,Urgent,Total,Crisis,Progressive,4,Artist,Adaptive,1843,1859.0,American Civil War,
The Great Depression & World War II,4,1929,1946,Great Power,Missionaries,Lost,G.I.s,Silent,"The Great Depression & World War II (Fourth Turning, 1929–1946) began suddenly with the Black Tuesday stock-market crash. After a three-year economic free fall, the Great Depression triggered the New Deal revolution, a vast expansion of government, and hopes for a renewal of national community. After Pearl Harbor, America planned, mobilized, and produced for war on a scale that made possible the massive D-Day invasion (in 1944). Two years later, the crisis mood eased with America's surprisingly trouble-free demobilization.",Prophet,Nomad,Hero,Artist,Strengthening,Overprotective,Widening,Championed,Founded,Practical,Gravitating,Simplifying,Rising Community,Stigma,Fix Outer World,Urgent,Total,Crisis,Silent,4,Artist,Adaptive,1925,1942.0,"Great Depression, World War II, Dust Bowl",https://en.wikipedia.org/wiki/Silent_Generation
The Global Financial Crisis,4,2008,2029,Millennial,Boomers,Xers,Millennials,Homelanders,"The Global Financial Crisis (Fourth Turning, 2008-2029?) was recently catalyzed by the 2008 global financial meltdown — leading to the most severe global economic downturn since the Great Depression — and by the historic Presidential election of that same year. With public trust continuing to ebb, the regeneracy phase of this crisis (in which civic purpose begins strengthen) still seems years away, and the crisis climax is well over a decade distant. Most likely, this Fourth Turning will come to an end in the late 2020s, just as the rising Homeland Generation is beginning to embark on careers.",Prophet,Nomad,Hero,Artist,Strengthening,Overprotective,Widening,Championed,Founded,Practical,Gravitating,Simplifying,Rising Community,Stigma,Fix Outer World,Urgent,Total,Crisis,Homeland,4,Artist,Adaptive,2005,2023.0,"War on Terror, Climate Change, Opioid epidemic, COVID-19 pandemic, Ukraine War",https://en.wikipedia.org/wiki/Generation_Z
