magazine_date,cover_topic,generation_name,turnings_archetype,publication_year,turning_name,turning_number,turning_type
1947-01-13,Milton Caniff,G.I.,Hero,1947,The American High,1,High
1947-02-10,Deborah Kerr,G.I.,Hero,1947,The American High,1,High
1947-03-03,Joseph H. Ball,G.I.,Hero,1947,The American High,1,High
1947-07-07,Marlin Perkins,G.I.,Hero,1947,The American High,1,High
1947-07-14,Eva Perón,G.I.,Hero,1947,The American High,1,High
1947-08-18,Andrei Gromyko,G.I.,Hero,1947,The American High,1,High
1947-08-25,Harold Stassen,G.I.,Hero,1947,The American High,1,High
1947-09-01,Jake Kramer,G.I.,Hero,1947,The American High,1,High
1947-11-03,Bob Chappuis,G.I.,Hero,1947,The American High,1,High
1947-11-24,DeLesseps S. Morrison,G.I.,Hero,1947,The American High,1,High
1948-01-12,Gregory Peck,G.I.,Hero,1948,The American High,1,High
1948-01-19,W. Stuart Symington,G.I.,Hero,1948,The American High,1,High
1948-03-15,Clark Clifford,G.I.,Hero,1948,The American High,1,High
1948-04-05,Markos Vafiades,G.I.,Hero,1948,The American High,1,High
1948-05-03,George Gallup,G.I.,Hero,1948,The American High,1,High
1948-05-17,Eddie Arcaro,G.I.,Hero,1948,The American High,1,High
1948-07-05,Thomas E. Dewey,G.I.,Hero,1948,The American High,1,High
1948-07-19,Howard Hughes,G.I.,Hero,1948,The American High,1,High
1948-08-02,Mel Patton,G.I.,Hero,1948,The American High,1,High
1948-08-23,Betty Grable,G.I.,Hero,1948,The American High,1,High
1948-09-06,Juliana of the Netherlands,G.I.,Hero,1948,The American High,1,High
1948-10-11,J. Strom Thurmond,G.I.,Hero,1948,The American High,1,High
1948-11-08,Robert Oppenheimer,G.I.,Hero,1948,The American High,1,High
1948-11-22,Tallulah Bankhead,G.I.,Hero,1948,The American High,1,High
1948-12-20,Olivia de Havilland,G.I.,Hero,1948,The American High,1,High
1949-01-10,Ben Hogan,G.I.,Hero,1949,The American High,1,High
1949-01-17,Hubert Humphrey,G.I.,Hero,1949,The American High,1,High
1949-02-21,Louis Armstrong,G.I.,Hero,1949,The American High,1,High
1949-04-18,Chuck Yeager,G.I.,Hero,1949,The American High,1,High
1949-04-25,Eugene Dennis,G.I.,Hero,1949,The American High,1,High
1949-05-16,Milton Berle,G.I.,Hero,1949,The American High,1,High
1949-07-18,Leopold III of Belgium,G.I.,Hero,1949,The American High,1,High
1949-07-18,Princess de Rethy,G.I.,Hero,1949,The American High,1,High
1949-09-19,Lisa Fonssagrives,G.I.,Hero,1949,The American High,1,High
1949-09-26,"Oliver Franks, Baron Franks",G.I.,Hero,1949,The American High,1,High
1949-11-14,Margot Fonteyn,G.I.,Hero,1949,The American High,1,High
1950-01-09,Carol Channing,G.I.,Hero,1950,The American High,1,High
1950-02-13,Glenn McCarthy,G.I.,Hero,1950,The American High,1,High
1950-02-27,Arthur Godfrey,G.I.,Hero,1950,The American High,1,High
1950-03-20,Georgi Malenkov,G.I.,Hero,1950,The American High,1,High
1950-04-24,Betty Hutton,G.I.,Hero,1950,The American High,1,High
1950-05-01,Gian-Carlo Menotti,G.I.,Hero,1950,The American High,1,High
1950-05-29,Bảo Đại,G.I.,Hero,1950,The American High,1,High
1950-06-12,Darryl F. Zanuck,G.I.,Hero,1950,The American High,1,High
1950-06-19,Charles F. Brannan,G.I.,Hero,1950,The American High,1,High
1950-07-03,William Levitt,G.I.,Hero,1950,The American High,1,High
1950-08-07,K. C. Wu,G.I.,Hero,1950,The American High,1,High
1950-08-21,Yakov Malik,G.I.,Hero,1950,The American High,1,High
1950-09-04,Curtis LeMay,G.I.,Hero,1950,The American High,1,High
1950-11-06,Al Capp,G.I.,Hero,1950,The American High,1,High
1950-11-20,Christopher Fry,G.I.,Hero,1950,The American High,1,High
1950-12-04,Frank Stanton (executive),G.I.,Hero,1950,The American High,1,High
1950-12-18,William H. Tunner,G.I.,Hero,1950,The American High,1,High
1951-01-15,Rudolf Bing,G.I.,Hero,1951,The American High,1,High
1951-02-26,Margaret Truman,G.I.,Hero,1951,The American High,1,High
1951-03-12,Estes Kefauver,G.I.,Hero,1951,The American High,1,High
1951-03-19,Michael DiSalle,G.I.,Hero,1951,The American High,1,High
1951-04-09,Barbara Bel Geddes,G.I.,Hero,1951,The American High,1,High
1951-04-16,Crawford Greenewalt,G.I.,Hero,1951,The American High,1,High
1951-05-21,Eva Perón,G.I.,Hero,1951,The American High,1,High
1951-06-11,Alfred Whitney Griswold,G.I.,Hero,1951,The American High,1,High
1951-06-25,Sugar Ray Robinson,G.I.,Hero,1951,The American High,1,High
1951-08-06,Mario Lanza,G.I.,Hero,1951,The American High,1,High
1951-08-20,Vasily Dzhugashvili,G.I.,Hero,1951,The American High,1,High
1951-09-03,Ava Gardner,G.I.,Hero,1951,The American High,1,High
