turning_name,turning_number,turning_begin_year,turning_end_year,saeculum_name,entering_elderhood,entering_midlife,entering_young_adulthood,entering_childhood,turning_notes
Retreat from France,3,1435,1459,Late Medeival,,,,Arthurians,"Retreat from France (Third Turning, 1435–1459) was an era of dynastic decline and civil disorder. In 1435, not long after Joan of Arc's execution, the English withdrew from Paris for the last time. In the 1440s, they were pushed out of France on all fronts. Thus ended the Hundred Years War. Meanwhile, the weak rule of young Henry VI eroded central authority in England. By the 1450s, noble houses flouted the law, vied for power, and engaged in private wars with impunity."
The War of the Roses,4,1459,1487,Late Medeival,,,Arthurians,Humanists,"The War of the Roses (Fourth Turning, 1459–1487) began with an irrevocable break between the ruling Houses of Lancaster and York. After a bloody civil war, Yorkist kings (Edward IV, Edward V, Richard III) mostly prevailed in reigns that were punctuated with invasions and rebellions. At Bosworth Field (in 1485), Henry Tudor defeated Richard III and crowned himself Henry VII, founder of a new royal dynasty. Two years later he defeated a pretender at the Battle of Stoke, which won him the enduring confidence of his subjects."
The Tudor Renaissance,1,1487,1517,Tudor,,Arthurians,Humanists,Reformation,"The Tudor Renaissance (First Turning, 1487–1517) was an era of political and social consolidation. To popular acclaim, King Henry VII crushed challenges to his new dynasty and strengthened royal writs and commissions. On this foundation of central authority, births rose, commerce thrived, and construction boomed. The new sumptuous worldliness was best reflected in the palaces of Cardinal Wolsely. The era closed in a mood of cultural sterility."
The Protestant Reformation,2,1517,1542,Tudor,Arthurians,Humanists,Reformation,Reprisal,"The Protestant Reformation (Second Turning, 1517–1542) began in Germany with Martin Luther's famous protest and spread swiftly to England. The enthusiasm peaked (in the mid-1530s) with King Henry VIII's break with the Papacy, William Tyndale's Bible, popular reform movements, and Parliament's confiscation of vast Church estates. It ended when reformers tired or (like Thomas Cromwell) were executed, and when foreign wars with Scotland and France diverted the popular imagination."
Intolerance and Martyrdom,3,1542,1569,Tudor,Humanists,Reformation,Reprisal,Elizabethans,"Intolerance and Martyrdom (Third Turning, 1542–1569) was an era of social fragmentation, civil rebellion, and deadly political intrigue. Through the reigns of Edward VI and Queen Mary, the throne tacked violently over the issue of religion. The economy careened in a boom- bust cycle, with royal debasements fueling unprecedented inflation. When the era closed, early in the reign of Queen Elizabeth, a disillusioned nation looked anxiously at the future."
The Armada Crisis,4,1569,1594,Tudor,Reformation,Reprisal,Elizabethans,Parliamentarians,"The Armada Crisis (Fourth Turning, 1569–1594) began when the powerful Duke of Norfolk was linked to a Spanish plot against the English throne, a discovery which galvanized newly-Protestant England against the global threat of the Catholic Hapsburgs. A crescendo of surrogate wars and privateering culminated in England's miraculous victory over the Spanish Armada invasion (in 1588). The mood of emergency relaxed after the successful resistance of Holland and the breaking of Spanish control over France."
Merrie England,1,1594,1621,New World,Reprisal,Elizabethans,Parliamentarians,Puritans,"Merrie England (First Turning, 1594–1621) was an age of optimism and prosperity, full of dreams of empire yet tempered by a wariness of enemies abroad. For the arts, this was the true English Renaissance and for literature, the glorious ""Age of Shakespeare."" After succeeding Elizabeth in 1601, James I encouraged learning, exploration, and trade. His elaborately polite relations with the Commons began to wear thin late in the second decade of his reign."
The Puritan Awakening,2,1621,1649,New World,Elizabethans,Parliamentarians,Puritans,Cavaliers,"The Puritan Awakening (Second Turning, 1621–1649) began with Parliament's ""Great Protestation."" Upon the accession of James' son, the reformist urge turned radical and gained popular momentum. Seeking religious exile, John Winthrop led a ""saving remnant"" of true believers to America. In England, this Puritan Enthusiasm led to the Long Parliament (in 1640), civil war, and the execution of Charles I (in 1649). In the new wilderness colonies, the experimental fervor receded, leaving isolated settlements seeking an enforceable moral orthodoxy."
Reaction and Restoration,3,1649,1675,New World,Parliamentarians,Puritans,Cavaliers,Glorious,"Reaction and Restoration (Third Turning, 1649–1675) was an era of drift and fierce controversy over the ideals of the original New World immigrants. Disoriented by fast-shifting events (Cromwell's Protectorate in the 1650s, the Stuart Restoration in 1660, a war with Holland in which ""New York"" was captured in 1664), each colony fended for itself and cut its own deal with England. The era ended with the authority of colonial self-government ebbing—and worries about the future rising."
The colonial Glorious Revolution,4,1675,1704,New World,Puritans,Cavaliers,Glorious,Enlighteners,"The colonial Glorious Revolution (Fourth Turning, 1675–1704) began with civil upheavals and catastrophic Indian wars—soon followed by Parliamentary efforts to reassert direct royal control over the colonies. The ensuing resistance culminated in 1689 with colonial rebellions that were triggered by news of the Glorious Revolution in England on behalf of William of Orange. A further decade of war against Canadian New France ended with Britain's global triumph, vigorous institutions of colonial self-rule, and a new era of peace with local native tribes."
The Augustan Age of Empire,1,1704,1727,Revolutionary,Cavaliers,Glorious,Enlighteners,Awakeners,"The Augustan Age of Empire (First Turning, 1704–1727) witnessed the first confident flowering of provincial civilization with booming trade, rising living standards, recognizable (northern) urban centers, and massive (southern) imports of African slaves. Lauding social discipline, Americans took pride in the growing might of Britain's empire. Socially, this was the periwigged apogee of colonial politesse; culturally, it was an age of credentials, wit, and Royal Society rationalism."
The Great Awakening,2,1727,1746,Revolutionary,Glorious,Enlighteners,Awakeners,Liberty,"The Great Awakening (Second Turning, 1727–1746) began as a spiritual revival in the Connecticut Valley and reached an hysterical peak in the northern colonies (in 1741) with the preachings of George Whitefield and the tracts of Jonathan Edwards. The enthusiasm split towns and colonial assemblies, shattered the ""old light"" establishment, and pitted young believers in ""faith"" against elder defenders of ""works."" After bursting polite conventions and lingering Old World social barriers, the enthusiasm receded during King George's War."
French & Indian Wars,3,1746,1773,Revolutionary,Enlighteners,Awakeners,Liberty,Republicans,"French & Indian Wars (Third Turning, 1746–1773) was an era of unprecedented economic and geographic mobility. Swept into a final war against New France in the 1750s, the colonists hardly celebrated Britain's total victory (in 1760) before renewing thunderous debates over how to salvage civic virtue from growing debt, cynicism, and wildness. With colonial leadership at a low ebb, popular fears soon targeted the alleged corruption of the English Parliament and empire."
American Revolution,4,1773,1794,Revolutionary,Awakeners,Liberty,Republicans,Compromisers,"American Revolution (Fourth Turning, 1773–1794) began when Parliament's response to the Boston Tea Party ignited a colonial tinderbox—leading directly to the first Continental Congress, the battle of Concord, and the Declaration of Independence. The war climaxed with the colonial triumph at Yorktown (in 1781). Seven years later, the new ""states"" ratified a nation-forging Constitution. The crisis mood eased once President Washington weathered the Jacobins, put down the Whiskey Rebels, and settled on a final treaty with England."
